Week,Price
01/10/1997,3.79
01/17/1997,4.19
01/24/1997,2.98
01/31/1997,2.91
02/07/1997,2.53
02/14/1997,2.3
02/21/1997,1.91
02/28/1997,1.82
03/07/1997,1.86
03/14/1997,1.96
03/21/1997,1.91
03/28/1997,1.84
04/04/1997,1.88
04/11/1997,1.98
04/18/1997,2.04
04/25/1997,2.14
05/02/1997,2.15
05/09/1997,2.29
05/16/1997,2.22
05/23/1997,2.22
05/30/1997,2.28
06/06/1997,2.17
06/13/1997,2.16
06/20/1997,2.22
06/27/1997,2.27
07/04/1997,2.15
07/11/1997,2.15
07/18/1997,2.24
07/25/1997,2.2
08/01/1997,2.22
08/08/1997,2.37
08/15/1997,2.53
08/22/1997,2.54
08/29/1997,2.58
09/05/1997,2.77
09/12/1997,2.76
09/19/1997,2.85
09/26/1997,3.08
10/03/1997,3
10/10/1997,2.83
10/17/1997,2.89
10/24/1997,3.21
10/31/1997,3.42
11/07/1997,3.16
11/14/1997,3.25
11/21/1997,2.89
11/28/1997,2.55
12/05/1997,2.51
12/12/1997,2.34
12/19/1997,2.34
12/26/1997,2.21
01/02/1998,2.26
01/09/1998,2.11
01/16/1998,2.05
01/23/1998,2.11
01/30/1998,2.08
02/06/1998,2.28
02/13/1998,2.21
02/20/1998,2.2
02/27/1998,2.22
03/06/1998,2.18
03/13/1998,2.22
03/20/1998,2.23
03/27/1998,2.3
04/03/1998,2.41
04/10/1998,2.57
04/17/1998,2.46
04/24/1998,2.4
05/01/1998,2.23
05/08/1998,2.14
05/15/1998,2.2
05/22/1998,2.13
05/29/1998,2.09
06/05/1998,2.1
06/12/1998,2
06/19/1998,2.11
06/26/1998,2.38
07/03/1998,2.39
07/10/1998,2.36
07/17/1998,2.21
07/24/1998,2.05
07/31/1998,1.95
08/07/1998,1.86
08/14/1998,1.85
08/21/1998,1.93
08/28/1998,1.81
09/04/1998,1.72
09/11/1998,1.83
09/18/1998,2.07
09/25/1998,2.24
10/02/1998,2.2
10/09/1998,1.99
10/16/1998,1.73
10/23/1998,1.9
10/30/1998,1.89
11/06/1998,2.11
11/13/1998,2.27
11/20/1998,2.12
11/27/1998,2.08
12/04/1998,1.34
12/11/1998,1.6
12/18/1998,1.93
12/25/1998,1.95
01/01/1999,1.84
01/08/1999,2
01/15/1999,1.81
01/22/1999,1.81
01/29/1999,1.76
02/05/1999,1.79
02/12/1999,1.81
02/19/1999,1.79
02/26/1999,1.7
03/05/1999,1.69
03/12/1999,1.87
03/19/1999,1.75
03/26/1999,1.79
04/02/1999,1.92
04/09/1999,2.04
04/16/1999,2.12
04/23/1999,2.18
04/30/1999,2.3
05/07/1999,2.3
05/14/1999,2.24
05/21/1999,2.27
05/28/1999,2.23
06/04/1999,2.34
06/11/1999,2.37
06/18/1999,2.27
06/25/1999,2.25
07/02/1999,2.29
07/09/1999,2.21
07/16/1999,2.14
07/23/1999,2.29
07/30/1999,2.58
08/06/1999,2.63
08/13/1999,2.75
08/20/1999,2.8
08/27/1999,2.98
09/03/1999,2.69
09/10/1999,2.7
09/17/1999,2.58
09/24/1999,2.42
10/01/1999,2.46
10/08/1999,2.45
10/15/1999,2.67
10/22/1999,2.92
10/29/1999,2.94
11/05/1999,2.75
11/12/1999,2.39
11/19/1999,2.24
11/26/1999,2
12/03/1999,2.2
12/10/1999,2.21
12/17/1999,2.49
12/24/1999,2.53
12/31/1999,2.33
01/07/2000,2.18
01/14/2000,2.25
01/21/2000,2.46
01/28/2000,2.71
02/04/2000,2.81
02/11/2000,2.67
02/18/2000,2.64
02/25/2000,2.52
03/03/2000,2.7
03/10/2000,2.74
03/17/2000,2.81
03/24/2000,2.77
03/31/2000,2.88
04/07/2000,2.92
04/14/2000,3.03
04/21/2000,3.11
04/28/2000,3.11
05/05/2000,3.15
05/12/2000,3.26
05/19/2000,3.56
05/26/2000,4.04
06/02/2000,4.36
06/09/2000,4.19
06/16/2000,4.3
06/23/2000,4.28
06/30/2000,4.39
07/07/2000,4.15
07/14/2000,4.18
07/21/2000,3.98
07/28/2000,3.72
08/04/2000,4.01
08/11/2000,4.44
08/18/2000,4.33
08/25/2000,4.63
09/01/2000,4.66
09/08/2000,4.82
09/15/2000,5.05
09/22/2000,5.17
09/29/2000,5.21
10/06/2000,5.2
10/13/2000,5.26
10/20/2000,5.17
10/27/2000,4.68
11/03/2000,4.49
11/10/2000,4.96
11/17/2000,5.78
11/24/2000,6.29
12/01/2000,6.18
12/08/2000,8.16
12/15/2000,8.37
12/22/2000,9.86
12/29/2000,9.88
01/05/2001,9.79
01/12/2001,9.57
01/19/2001,7.68
01/26/2001,7.07
02/02/2001,6.23
02/09/2001,5.98
02/16/2001,5.63
02/23/2001,5.13
03/02/2001,5.14
03/09/2001,5.24
03/16/2001,5.12
03/23/2001,5.2
03/30/2001,5.39
04/06/2001,5.27
04/13/2001,5.44
04/20/2001,5.21
04/27/2001,4.99
05/04/2001,4.56
05/11/2001,4.22
05/18/2001,4.31
05/25/2001,4.05
06/01/2001,3.74
06/08/2001,3.79
06/15/2001,3.97
06/22/2001,3.81
06/29/2001,3.3
07/06/2001,3
07/13/2001,3.19
07/20/2001,3.07
07/27/2001,3.08
08/03/2001,3.21
08/10/2001,3.09
08/17/2001,3.18
08/24/2001,3.04
08/31/2001,2.45
09/07/2001,2.34
09/14/2001,2.4
09/21/2001,2.15
09/28/2001,1.9
10/05/2001,1.96
10/12/2001,2.21
10/19/2001,2.42
10/26/2001,2.86
11/02/2001,3.06
11/09/2001,2.72
11/16/2001,2.16
11/23/2001,2.18
11/30/2001,2
12/07/2001,1.98
12/14/2001,2.45
12/21/2001,2.4
12/28/2001,2.4
01/04/2002,2.53
01/11/2002,2.38
01/18/2002,2.34
01/25/2002,2.18
02/01/2002,2.18
02/08/2002,2.22
02/15/2002,2.28
02/22/2002,2.38
03/01/2002,2.47
03/08/2002,2.67
03/15/2002,2.92
03/22/2002,3.31
03/29/2002,3.4
04/05/2002,3.54
04/12/2002,3.21
04/19/2002,3.4
04/26/2002,3.5
05/03/2002,3.65
05/10/2002,3.65
05/17/2002,3.57
05/24/2002,3.35
05/31/2002,3.24
06/07/2002,3.24
06/14/2002,3.11
06/21/2002,3.26
06/28/2002,3.43
07/05/2002,3.18
07/12/2002,2.96
07/19/2002,2.9
07/26/2002,2.97
08/02/2002,3.01
08/09/2002,2.78
08/16/2002,2.99
08/23/2002,3.28
08/30/2002,3.33
09/06/2002,3.21
09/13/2002,3.3
09/20/2002,3.71
09/27/2002,3.8
10/04/2002,4.17
10/11/2002,3.85
10/18/2002,4.14
10/25/2002,4.22
11/01/2002,4.23
11/08/2002,3.88
11/15/2002,3.86
11/22/2002,4.25
11/29/2002,4.25
12/06/2002,4.31
12/13/2002,4.64
12/20/2002,5.12
12/27/2002,4.96
01/03/2003,4.85
01/10/2003,5.03
01/17/2003,5.37
01/24/2003,5.91
01/31/2003,5.68
02/07/2003,6.11
02/14/2003,6.08
02/21/2003,6.33
02/28/2003,12.03
03/07/2003,7.8
03/14/2003,5.94
03/21/2003,5.18
03/28/2003,4.99
04/04/2003,4.91
04/11/2003,5.15
04/18/2003,5.5
04/25/2003,5.51
05/02/2003,5.25
05/09/2003,5.57
05/16/2003,6.05
05/23/2003,6.02
05/30/2003,5.83
06/06/2003,6.26
06/13/2003,5.94
06/20/2003,5.57
06/27/2003,5.61
07/04/2003,5.14
07/11/2003,5.36
07/18/2003,5.06
07/25/2003,4.91
08/01/2003,4.68
08/08/2003,4.83
08/15/2003,5.05
08/22/2003,5.07
08/29/2003,5.05
09/05/2003,4.69
09/12/2003,4.76
09/19/2003,4.56
09/26/2003,4.49
10/03/2003,4.49
10/10/2003,4.72
10/17/2003,4.84
10/24/2003,4.7
10/31/2003,4.38
11/07/2003,4.36
11/14/2003,4.59
11/21/2003,4.36
11/28/2003,4.64
12/05/2003,5.58
12/12/2003,6.51
12/19/2003,6.73
12/26/2003,5.8
01/02/2004,5.73
01/09/2004,6.65
01/16/2004,5.95
01/23/2004,6.07
01/30/2004,5.88
02/06/2004,5.57
02/13/2004,5.45
02/20/2004,5.31
02/27/2004,5.14
03/05/2004,5.27
03/12/2004,5.39
03/19/2004,5.58
03/26/2004,5.31
04/02/2004,5.56
04/09/2004,5.78
04/16/2004,5.76
04/23/2004,5.53
04/30/2004,5.76
05/07/2004,6.1
05/14/2004,6.33
05/21/2004,6.33
05/28/2004,6.57
06/04/2004,6.39
06/11/2004,6.08
06/18/2004,6.39
06/25/2004,6.34
07/02/2004,6
07/09/2004,6.13
07/16/2004,5.88
07/23/2004,5.86
07/30/2004,5.91
08/06/2004,5.66
08/13/2004,5.55
08/20/2004,5.34
08/27/2004,5.23
09/03/2004,4.84
09/10/2004,4.56
09/17/2004,5.04
09/24/2004,5.44
10/01/2004,5.73
10/08/2004,5.92
10/15/2004,5.61
10/22/2004,6.7
10/29/2004,7.38
11/05/2004,6.92
11/12/2004,6.12
11/19/2004,5.81
11/26/2004,5.16
12/03/2004,6.61
12/10/2004,6.08
12/17/2004,7.03
12/24/2004,7
12/31/2004,6.26
01/07/2005,5.74
01/14/2005,6.11
01/21/2005,6.4
01/28/2005,6.4
02/04/2005,6.25
02/11/2005,6.08
02/18/2005,6
02/25/2005,6.13
03/04/2005,6.62
03/11/2005,6.82
03/18/2005,7.09
03/25/2005,7.15
04/01/2005,7.22
04/08/2005,7.49
04/15/2005,7.11
04/22/2005,7
04/29/2005,6.95
05/06/2005,6.58
05/13/2005,6.59
05/20/2005,6.42
05/27/2005,6.33
06/03/2005,6.49
06/10/2005,7.11
06/17/2005,7.36
06/24/2005,7.52
07/01/2005,7.09
07/08/2005,7.64
07/15/2005,7.79
07/22/2005,7.65
07/29/2005,7.56
08/05/2005,8.46
08/12/2005,9.07
08/19/2005,9.53
08/26/2005,9.81
09/02/2005,11.6
09/09/2005,11.14
09/16/2005,10.94
09/23/2005,13.46
10/07/2005,13.67
10/14/2005,13.4
10/21/2005,13.36
10/28/2005,13.71
11/04/2005,10.86
11/11/2005,9.22
11/18/2005,10.26
11/25/2005,10.88
12/02/2005,11.89
12/09/2005,14.21
12/16/2005,14.49
12/23/2005,13.06
12/30/2005,9.93
01/06/2006,9.42
01/13/2006,8.63
01/20/2006,8.67
01/27/2006,8.22
02/03/2006,8.36
02/10/2006,7.8
02/17/2006,7.25
02/24/2006,7.39
03/03/2006,6.71
03/10/2006,6.44
03/17/2006,7.06
03/24/2006,7.1
03/31/2006,7.11
04/07/2006,6.98
04/14/2006,6.81
04/21/2006,7.63
04/28/2006,7.17
05/05/2006,6.61
05/12/2006,6.55
05/19/2006,5.92
05/26/2006,5.96
06/02/2006,6.16
06/09/2006,6.06
06/16/2006,6.3
06/23/2006,6.5
06/30/2006,5.97
07/07/2006,5.39
07/14/2006,5.74
07/21/2006,6.04
07/28/2006,6.82
08/04/2006,8.08
08/11/2006,7.43
08/18/2006,6.84
08/25/2006,7.09
09/01/2006,6.04
09/08/2006,5.53
09/15/2006,5.15
09/22/2006,4.8
09/29/2006,4.17
10/06/2006,4.32
10/13/2006,5.07
10/20/2006,6.22
10/27/2006,7.39
11/03/2006,7.11
11/10/2006,7.04
11/17/2006,7.39
11/24/2006,7.59
12/01/2006,7.93
12/08/2006,7.51
12/15/2006,7.01
12/22/2006,6.26
12/29/2006,5.6
01/05/2007,5.5
01/12/2007,6.13
01/19/2007,6.52
01/26/2007,7.29
02/02/2007,7.71
02/09/2007,8.31
02/16/2007,8.43
02/23/2007,7.46
03/02/2007,7.34
03/09/2007,7.32
03/16/2007,6.86
03/23/2007,6.91
03/30/2007,7.32
04/06/2007,7.55
04/13/2007,7.83
04/20/2007,7.51
04/27/2007,7.48
05/04/2007,7.68
05/11/2007,7.56
05/18/2007,7.74
05/25/2007,7.56
06/01/2007,7.65
06/08/2007,7.76
06/15/2007,7.51
06/22/2007,7.36
06/29/2007,6.71
07/06/2007,6.27
07/13/2007,6.4
07/20/2007,6.37
07/27/2007,5.76
08/03/2007,6.3
08/10/2007,6.35
08/17/2007,7.08
08/24/2007,5.93
08/31/2007,5.51
09/07/2007,5.66
09/14/2007,6.03
09/21/2007,6.21
09/28/2007,6.33
10/05/2007,6.65
10/12/2007,6.68
10/19/2007,7.1
10/26/2007,6.39
11/02/2007,6.93
11/09/2007,6.95
11/16/2007,7.19
11/23/2007,6.88
11/30/2007,7.44
12/07/2007,7.12
12/14/2007,7.17
12/21/2007,7.12
12/28/2007,6.97
01/04/2008,7.57
01/11/2008,7.84
01/18/2008,8.33
01/25/2008,7.87
02/01/2008,8.02
02/08/2008,7.87
02/15/2008,8.47
02/22/2008,8.89
02/29/2008,9.16
03/07/2008,9.43
03/14/2008,9.74
03/21/2008,9.09
03/28/2008,9.24
04/04/2008,9.68
04/11/2008,9.88
04/18/2008,10.13
04/25/2008,10.54
05/02/2008,10.75
05/09/2008,11.11
05/16/2008,11.36
05/23/2008,11.31
05/30/2008,11.67
06/06/2008,12.29
