time,price,price_dayahead,gen_coal,gen_gas,load_actual,gen_lig,gen_oil,gen_oth_renew,pressure_Barcelona,gen_hyd_pump
2014-12-31 23:00:00+00:00,65.41,50.1,4821.0,4844.0,25385.0,329.0,162.0,73.0,1035.0,863.0
2015-01-01 00:00:00+00:00,64.92,48.1,4755.0,5196.0,24382.0,328.0,158.0,71.0,1035.0,920.0
2015-01-01 01:00:00+00:00,64.48,47.33,4581.0,4857.0,22734.0,323.0,157.0,73.0,1036.0,1164.0
2015-01-01 02:00:00+00:00,59.32,42.27,4131.0,4314.0,21286.0,254.0,160.0,75.0,1036.0,1503.0
2015-01-01 03:00:00+00:00,56.04,38.41,3840.0,4130.0,20264.0,187.0,156.0,74.0,1036.0,1826.0
2015-01-01 04:00:00+00:00,53.63,35.72,3590.0,4038.0,19905.0,178.0,156.0,74.0,1037.0,2109.0
2015-01-01 05:00:00+00:00,51.73,35.13,3368.0,4040.0,20010.0,172.0,158.0,74.0,1037.0,2108.0
2015-01-01 06:00:00+00:00,51.43,36.22,3208.0,4030.0,20377.0,172.0,160.0,72.0,1037.0,2031.0
2015-01-01 07:00:00+00:00,48.98,32.4,3335.0,4052.0,20094.0,177.0,161.0,73.0,1038.0,2119.0
2015-01-01 08:00:00+00:00,54.2,36.6,3437.0,4137.0,20637.0,177.0,163.0,74.0,1038.0,2170.0
2015-01-01 09:00:00+00:00,58.94,43.1,3516.0,4059.0,22250.0,173.0,167.0,72.0,1038.0,2020.0
2015-01-01 10:00:00+00:00,59.86,45.14,3845.0,3931.0,23547.0,226.0,166.0,73.0,1038.0,1183.0
2015-01-01 11:00:00+00:00,60.12,45.14,4220.0,3784.0,24133.0,303.0,167.0,75.0,1038.0,972.0
2015-01-01 12:00:00+00:00,62.05,47.35,4404.0,3754.0,24713.0,288.0,167.0,74.0,1038.0,922.0
2015-01-01 13:00:00+00:00,62.06,47.35,4256.0,3779.0,24672.0,260.0,166.0,76.0,1035.0,941.0
2015-01-01 14:00:00+00:00,59.76,43.61,4038.0,3708.0,23528.0,183.0,160.0,76.0,1035.0,1069.0
2015-01-01 15:00:00+00:00,61.18,44.91,4191.0,3813.0,23118.0,256.0,163.0,75.0,1035.0,970.0
2015-01-01 16:00:00+00:00,64.74,48.1,4707.0,3967.0,23606.0,322.0,165.0,75.0,1035.0,798.0
2015-01-01 17:00:00+00:00,74.26,58.02,4756.0,4756.0,26447.0,282.0,164.0,74.0,1035.0,1.0
2015-01-01 18:00:00+00:00,74.24,61.01,4918.0,4410.0,28020.0,303.0,147.0,76.0,1036.0,1.0
2015-01-01 19:00:00+00:00,75.64,62.69,5025.0,4324.0,29014.0,318.0,154.0,74.0,1036.0,0.0
2015-01-01 20:00:00+00:00,73.92,60.41,5043.0,4684.0,29571.0,325.0,154.0,74.0,1038.0,0.0
2015-01-01 21:00:00+00:00,70.53,58.15,4990.0,4870.0,29031.0,322.0,154.0,74.0,1038.0,0.0
2015-01-01 22:00:00+00:00,64.13,53.6,4942.0,4685.0,26798.0,320.0,160.0,74.0,1038.0,0.0
2015-01-01 23:00:00+00:00,64.02,10.0,1291.0,3189.0,27070.0,0.0,193.0,62.0,1038.0,1290.0
2015-01-02 00:00:00+00:00,58.46,7.0,1190.0,2902.0,24935.0,0.0,192.0,61.0,1038.0,1996.0
2015-01-02 01:00:00+00:00,54.7,5.0,1023.0,2772.0,23214.0,0.0,189.0,60.0,1037.0,2698.0
2015-01-02 02:00:00+00:00,54.91,4.0,1016.0,2936.0,22540.0,0.0,188.0,59.0,1037.0,3269.0
2015-01-02 03:00:00+00:00,53.07,4.0,1103.0,2893.0,22096.0,0.0,189.0,61.0,1037.0,3267.0
2015-01-02 04:00:00+00:00,54.23,4.8,1120.0,2889.0,22066.0,0.0,190.0,59.0,1038.0,3258.0
2015-01-02 05:00:00+00:00,58.22,5.0,1167.0,2898.0,22275.0,0.0,189.0,60.0,1038.0,3256.0
2015-01-02 06:00:00+00:00,67.55,7.04,1067.0,2938.0,23025.0,0.0,194.0,60.0,1038.0,2987.0
2015-01-02 07:00:00+00:00,70.33,7.04,1098.0,2869.0,23699.0,0.0,196.0,59.0,1039.0,2447.0
2015-01-02 08:00:00+00:00,71.26,7.88,1293.0,3090.0,25834.0,0.0,193.0,59.0,1039.0,1907.0
2015-01-02 09:00:00+00:00,75.86,10.71,1339.0,2844.0,27927.0,0.0,200.0,60.0,1039.0,938.0
2015-01-02 10:00:00+00:00,73.65,10.0,1335.0,2699.0,29072.0,0.0,199.0,59.0,1039.0,747.0
2015-01-02 11:00:00+00:00,74.19,7.04,1336.0,2606.0,29071.0,0.0,197.0,60.0,1037.0,864.0
2015-01-02 12:00:00+00:00,71.51,7.0,1341.0,2662.0,29439.0,0.0,208.0,61.0,1039.0,906.0
2015-01-02 13:00:00+00:00,71.04,6.33,1354.0,2729.0,29241.0,0.0,195.0,58.0,1035.0,1047.0
2015-01-02 14:00:00+00:00,71.24,5.0,1298.0,2599.0,27973.0,0.0,195.0,57.0,1035.0,1491.0
2015-01-02 15:00:00+00:00,70.64,6.21,1184.0,2996.0,27320.0,0.0,195.0,59.0,1037.0,1975.0
2015-01-02 16:00:00+00:00,72.85,9.98,1047.0,3696.0,27157.0,0.0,195.0,59.0,1036.0,1760.0
2015-01-02 17:00:00+00:00,82.55,33.15,1178.0,4760.0,29045.0,0.0,199.0,64.0,1036.0,595.0
2015-01-02 18:00:00+00:00,83.33,50.0,1345.0,6030.0,31967.0,0.0,205.0,68.0,1037.0,78.0
2015-01-02 19:00:00+00:00,83.23,52.01,1354.0,5973.0,33266.0,0.0,214.0,69.0,1038.0,68.0
2015-01-02 20:00:00+00:00,79.06,50.01,1348.0,6082.0,33668.0,0.0,215.0,69.0,1038.0,68.0
2015-01-02 21:00:00+00:00,76.2,45.8,1429.0,5747.0,32426.0,0.0,217.0,66.0,1038.0,68.0
2015-01-02 22:00:00+00:00,71.75,41.74,1432.0,4177.0,29705.0,0.0,220.0,64.0,1038.0,68.0
2015-01-02 23:00:00+00:00,66.82,35.62,1798.0,3801.0,25564.0,0.0,246.0,76.0,1036.0,502.0
2015-01-03 00:00:00+00:00,63.35,27.1,1351.0,3812.0,23584.0,0.0,245.0,68.0,1037.0,1048.0
2015-01-03 01:00:00+00:00,58.79,25.0,1258.0,3745.0,22194.0,0.0,244.0,66.0,1037.0,1880.0
2015-01-03 02:00:00+00:00,57.44,20.01,1196.0,3638.0,21296.0,0.0,244.0,68.0,1037.0,2441.0
2015-01-03 03:00:00+00:00,55.29,17.1,1138.0,3515.0,21145.0,0.0,202.0,67.0,1037.0,2767.0
2015-01-03 04:00:00+00:00,56.22,17.22,1180.0,3626.0,21316.0,0.0,189.0,66.0,1037.0,2953.0
2015-01-03 05:00:00+00:00,58.13,20.14,1246.0,3556.0,21674.0,0.0,188.0,68.0,1036.0,2744.0
2015-01-03 06:00:00+00:00,62.06,19.87,1175.0,3524.0,22127.0,0.0,190.0,67.0,1036.0,2279.0
2015-01-03 07:00:00+00:00,67.36,20.22,1249.0,4000.0,22756.0,0.0,190.0,66.0,1036.0,2152.0
2015-01-03 08:00:00+00:00,69.21,25.22,1415.0,4157.0,24654.0,0.0,226.0,68.0,1036.0,1081.0
2015-01-03 09:00:00+00:00,70.35,25.13,1597.0,3960.0,26454.0,0.0,249.0,68.0,1036.0,341.0
2015-01-03 10:00:00+00:00,68.77,27.1,1569.0,3622.0,26959.0,0.0,250.0,71.0,1036.0,325.0
2015-01-03 11:00:00+00:00,68.82,28.71,1379.0,3138.0,26716.0,0.0,247.0,64.0,1036.0,409.0
2015-01-03 12:00:00+00:00,68.23,25.0,1193.0,3113.0,26802.0,0.0,249.0,64.0,1036.0,1095.0
2015-01-03 13:00:00+00:00,67.97,23.68,1155.0,3114.0,26416.0,0.0,248.0,64.0,1036.0,1750.0
2015-01-03 14:00:00+00:00,62.76,14.87,1137.0,2982.0,25362.0,0.0,206.0,62.0,1034.0,2141.0
2015-01-03 15:00:00+00:00,62.03,11.7,1205.0,2987.0,24770.0,0.0,190.0,61.0,1033.0,2175.0
2015-01-03 16:00:00+00:00,66.69,19.52,1289.0,3169.0,24501.0,0.0,190.0,59.0,1031.0,1936.0
2015-01-03 17:00:00+00:00,71.5,25.13,1399.0,3221.0,24992.0,0.0,218.0,62.0,1031.0,1271.0
2015-01-03 18:00:00+00:00,72.14,39.71,1539.0,3033.0,27964.0,0.0,243.0,66.0,1034.0,129.0
2015-01-03 19:00:00+00:00,72.45,44.0,1555.0,3136.0,29694.0,0.0,244.0,67.0,1034.0,0.0
