Date,Price
"Jan 10, 1997",3.79
"Jan 17, 1997",4.19
"Jan 24, 1997",2.98
"Jan 31, 1997",2.91
"Feb 07, 1997",2.53
"Feb 14, 1997",2.3
"Feb 21, 1997",1.91
"Feb 28, 1997",1.82
"Mar 07, 1997",1.86
"Mar 14, 1997",1.96
"Mar 21, 1997",1.91
"Mar 28, 1997",1.84
"Apr 04, 1997",1.88
"Apr 11, 1997",1.98
"Apr 18, 1997",2.04
"Apr 25, 1997",2.14
"May 02, 1997",2.15
"May 09, 1997",2.29
"May 16, 1997",2.22
"May 23, 1997",2.22
"May 30, 1997",2.28
"Jun 06, 1997",2.17
"Jun 13, 1997",2.16
"Jun 20, 1997",2.22
"Jun 27, 1997",2.27
"Jul 04, 1997",2.15
"Jul 11, 1997",2.15
"Jul 18, 1997",2.24
"Jul 25, 1997",2.2
"Aug 01, 1997",2.22
"Aug 08, 1997",2.37
"Aug 15, 1997",2.53
"Aug 22, 1997",2.54
"Aug 29, 1997",2.58
"Sep 05, 1997",2.77
"Sep 12, 1997",2.76
"Sep 19, 1997",2.85
"Sep 26, 1997",3.08
"Oct 03, 1997",3
"Oct 10, 1997",2.83
"Oct 17, 1997",2.89
"Oct 24, 1997",3.21
"Oct 31, 1997",3.42
"Nov 07, 1997",3.16
"Nov 14, 1997",3.25
"Nov 21, 1997",2.89
"Nov 28, 1997",2.55
"Dec 05, 1997",2.51
"Dec 12, 1997",2.34
"Dec 19, 1997",2.34
"Dec 26, 1997",2.21
"Jan 02, 1998",2.26
"Jan 09, 1998",2.11
"Jan 16, 1998",2.05
"Jan 23, 1998",2.11
"Jan 30, 1998",2.08
"Feb 06, 1998",2.28
"Feb 13, 1998",2.21
"Feb 20, 1998",2.2
"Feb 27, 1998",2.22
"Mar 06, 1998",2.18
"Mar 13, 1998",2.22
"Mar 20, 1998",2.23
"Mar 27, 1998",2.3
"Apr 03, 1998",2.41
"Apr 10, 1998",2.57
"Apr 17, 1998",2.46
"Apr 24, 1998",2.4
"May 01, 1998",2.23
"May 08, 1998",2.14
"May 15, 1998",2.2
"May 22, 1998",2.13
"May 29, 1998",2.09
"Jun 05, 1998",2.1
"Jun 12, 1998",2
"Jun 19, 1998",2.11
"Jun 26, 1998",2.38
"Jul 03, 1998",2.39
"Jul 10, 1998",2.36
"Jul 17, 1998",2.21
"Jul 24, 1998",2.05
"Jul 31, 1998",1.95
"Aug 07, 1998",1.86
"Aug 14, 1998",1.85
"Aug 21, 1998",1.93
"Aug 28, 1998",1.81
"Sep 04, 1998",1.72
"Sep 11, 1998",1.83
"Sep 18, 1998",2.07
"Sep 25, 1998",2.24
"Oct 02, 1998",2.2
"Oct 09, 1998",1.99
"Oct 16, 1998",1.73
"Oct 23, 1998",1.9
"Oct 30, 1998",1.89
"Nov 06, 1998",2.11
"Nov 13, 1998",2.27
"Nov 20, 1998",2.12
"Nov 27, 1998",2.08
"Dec 04, 1998",1.34
"Dec 11, 1998",1.6
"Dec 18, 1998",1.93
"Dec 25, 1998",1.95
"Jan 01, 1999",1.84
"Jan 08, 1999",2
"Jan 15, 1999",1.81
"Jan 22, 1999",1.81
"Jan 29, 1999",1.76
"Feb 05, 1999",1.79
"Feb 12, 1999",1.81
"Feb 19, 1999",1.79
"Feb 26, 1999",1.7
"Mar 05, 1999",1.69
"Mar 12, 1999",1.87
"Mar 19, 1999",1.75
"Mar 26, 1999",1.79
"Apr 02, 1999",1.92
"Apr 09, 1999",2.04
"Apr 16, 1999",2.12
"Apr 23, 1999",2.18
"Apr 30, 1999",2.3
"May 07, 1999",2.3
"May 14, 1999",2.24
"May 21, 1999",2.27
"May 28, 1999",2.23
"Jun 04, 1999",2.34
"Jun 11, 1999",2.37
"Jun 18, 1999",2.27
"Jun 25, 1999",2.25
"Jul 02, 1999",2.29
"Jul 09, 1999",2.21
"Jul 16, 1999",2.14
"Jul 23, 1999",2.29
"Jul 30, 1999",2.58
"Aug 06, 1999",2.63
"Aug 13, 1999",2.75
"Aug 20, 1999",2.8
"Aug 27, 1999",2.98
